No,SN Tyre,Reg Unit,Tanggal Pengecekan,PIC,Suhu luar ruangan,Suhu Tyre,Aktual (PSI),Remedy PSI,Kondisi,Remark
1,ABA 220911,ABA693,1/6/2023 8:15,"PAD, NHD, IWM",27,27,110,0,,
2,ABA 220911,ABA693,1/13/2023 8:20,ARY,28,35,120,,,
3,ABA 220708,ABA694,1/7/2023 8:10,JRT,26,26,105,15,,
4,ABA 220709,ABA697,1/8/2023 10:20,jrt,25,27,110,10,,
5,ABA 220715,ABA6103,1/11/2023 13:53,JRT,32,38,120,,,
6,ABA 220715,ABA6103,1/18/2023 7:10,OBETH PARABAK,25,25,115,5,,
7,ABA 220715,ABA6103,1/24/2023 10:06,OBP,29,30,130,,,
8,ABA 220202,ABA694,1/21/2023 13:46,JRT,31,35,135,,,
9,ABA 2202011,ABA692,1/6/2023 9:20,"PAD, NHD, IWM",28,40,100,0,,
10,ABA 211017,ABA697,1/8/2023 10:20,jrt,25,27,80,20,,
11,ABA 211015,ABA697,1/8/2023 10:20,jrt,25,26,85,15,,
12,ABA 2202019,ABA697,1/8/2023 10:20,jrt,25,26,120,15,,
13,ABA 220309,ABA696,1/8/2023 9:17,JRT,25,25,90,10,,
14,ABA 220208,ABA699,1/9/2023 10:51,JRT,29,28,120,,,
15,ABA 2202011,ABA692,1/13/2023 9:58,ARY,29,35,120,,,
16,ABA 03619 EKS,719,1/13/2023 8:50,NHD,29,33,120,,,
17,ABA 220309,ABA696,1/15/2023 11:32,OBP,31,43,110,,,
18,ABA 220306,ABA698,1/16/2023 11:13,OBP,31,42,135,,,
19,ABA 220105,ABA699,1/16/2023 8:28,OBP,27,41,120,,,
20,ABA 03619 EKS,719,1/20/2023 14:04,SUKIR & NUNUNG HARIANTO,32.3,35,130,0,,
21,ABA 2202011,ABA692,1/20/2023 7:50,SUKIR & NUNUNG HARIANTO,25,27,120,0,,
22,ABA 220309,ABA696,1/22/2023 14:07,OBP,30,34,115,,,
23,ABA 220108,ABA694,1/21/2023 13:46,JRT,31,31,120,,,
24,ABA 220602,ABA694,1/21/2023 13:46,JRT,31,31,120,,,
25,ABA 220311,ABA693,1/6/2023 8:15,"PAD, NHD, IWM",27,28,100,0,,
